진료년도,주상병코드,시도구분,환자수,명세서청구건수,입내원일수,보험자부담금(선별포함),요양급여비용총액(선별포함)
2024,A00 ,서울,2 ,2 ,2 ,28900 ,36400 
2024,A00 ,인천,1 ,1 ,1 ,15910 ,17610 
2024,A00 ,경기,2 ,2 ,2 ,31960 ,39760 
2024,A000,서울,7 ,11 ,11 ,304810 ,515950 
2024,A000,인천,2 ,2 ,9 ,2395850 ,3368250 
2024,A000,대구,3 ,3 ,3 ,84130 ,119150 
2024,A000,광주,1 ,1 ,1 ,15720 ,22420 
2024,A000,울산,4 ,4 ,4 ,145420 ,193740 
2024,A000,경기,10 ,14 ,14 ,248270 ,314570 
2024,A000,충북,1 ,8 ,8 ,491620 ,620420 
2024,A000,충남,1 ,1 ,1 ,26220 ,37420 
2024,A000,전남,1 ,1 ,1 ,10260 ,16960 
2024,A000,제주,1 ,1 ,1 ,17020 ,24220 
2024,A001,서울,1 ,1 ,1 ,10340 ,14640 
2024,A009,서울,5 ,6 ,11 ,3184580 ,4019810 
2024,A009,부산,2 ,2 ,2 ,116640 ,223540 
2024,A009,인천,2 ,2 ,2 ,31590 ,41490 
2024,A009,대구,4 ,6 ,13 ,3717820 ,4800760 
2024,A009,광주,7 ,7 ,7 ,119160 ,169260 
2024,A009,울산,1 ,1 ,0 ,10430 ,13630 
2024,A009,경기,3 ,3 ,3 ,112740 ,209980 
2024,A009,충북,1 ,1 ,1 ,15480 ,21980 
2024,A009,전북,2 ,2 ,10 ,1927830 ,2318630 
2024,A009,경남,1 ,1 ,1 ,9520 ,19020 
2024,A009,제주,1 ,1 ,1 ,8890 ,12590 
2024,A010,서울,3 ,3 ,10 ,3754860 ,4907970 
2024,A010,부산,5 ,7 ,32 ,7481970 ,9540630 
2024,A010,인천,2 ,2 ,10 ,3225220 ,4156950 
2024,A010,대구,3 ,4 ,4 ,60820 ,103420 
2024,A010,대전,1 ,2 ,5 ,1677580 ,2046040 
2024,A010,울산,1 ,1 ,1 ,536490 ,564000 
2024,A010,경기,11 ,13 ,55 ,20325720 ,24571330 
2024,A010,강원,1 ,2 ,7 ,2814860 ,3012470 
2024,A010,충북,1 ,4 ,20 ,6097050 ,7504850 
2024,A010,충남,6 ,6 ,17 ,1187030 ,1335310 
2024,A010,전북,13 ,14 ,64 ,13793010 ,16813570 
2024,A010,전남,1 ,1 ,3 ,162840 ,219740 
2024,A010,경북,1 ,1 ,1 ,152020 ,307470 
2024,A010,경남,6 ,9 ,42 ,14992780 ,17801070 
2024,A010,제주,2 ,2 ,7 ,1313130 ,1485810 
2024,A011,서울,1 ,1 ,1 ,8890 ,12590 
2024,A011,부산,1 ,1 ,1 ,30020 ,90920 
2024,A011,대전,1 ,3 ,3 ,83000 ,255500 
2024,A011,경기,2 ,7 ,7 ,572420 ,721320 
2024,A012,부산,1 ,2 ,2 ,16270 ,26970 
2024,A012,인천,2 ,6 ,16 ,5980030 ,6770430 
2024,A012,전남,1 ,1 ,9 ,1964820 ,2309200 
2024,A012,경북,1 ,1 ,1 ,16950 ,24150 
2024,A013,서울,2 ,2 ,2 ,65670 ,128570 
2024,A013,부산,1 ,1 ,4 ,839020 ,997500 
2024,A013,광주,1 ,1 ,1 ,49710 ,82810 
2024,A013,충북,1 ,1 ,1 ,12410 ,17610 
2024,A013,충남,1 ,1 ,14 ,6341230 ,7495490 
2024,A013,전남,2 ,2 ,28 ,6772560 ,8180390 
2024,A013,경남,1 ,1 ,7 ,1697390 ,1779190 
2024,A014,서울,7 ,8 ,21 ,4594080 ,5701070 
2024,A014,부산,5 ,7 ,41 ,11091580 ,13643340 
2024,A014,대구,1 ,1 ,1 ,10740 ,15340 
2024,A014,광주,1 ,1 ,1 ,7390 ,12290 
2024,A014,대전,1 ,3 ,3 ,122950 ,168150 
2024,A014,울산,6 ,12 ,51 ,15953110 ,17294980 
2024,A014,경기,3 ,3 ,32 ,8440800 ,11500480 
2024,A014,강원,2 ,3 ,3 ,38810 ,112010 
2024,A014,전북,2 ,5 ,5 ,167210 ,224070 
2024,A014,전남,2 ,2 ,13 ,2996860 ,3613020 
2024,A014,경북,1 ,1 ,14 ,2694530 ,2924030 
2024,A014,경남,1 ,1 ,1 ,13840 ,15340 
2024,A020,서울,853 ,1418 ,3695 ,977824780 ,1179234030 
2024,A020,부산,416 ,654 ,2450 ,563004920 ,689335650 
2024,A020,인천,343 ,554 ,1629 ,436822280 ,525778760 
2024,A020,대구,219 ,323 ,1131 ,256632620 ,309816890 
2024,A020,광주,154 ,192 ,943 ,190707210 ,228123000 
2024,A020,대전,307 ,505 ,1605 ,383759950 ,471574180 
2024,A020,울산,119 ,215 ,569 ,97001340 ,118839880 
2024,A020,경기,1909 ,3158 ,8023 ,1811569610 ,2186745400 
2024,A020,강원,96 ,139 ,506 ,162025860 ,193705540 
2024,A020,충북,166 ,277 ,858 ,148338520 ,181014240 
2024,A020,충남,171 ,300 ,828 ,154249540 ,190185180 
2024,A020,전북,345 ,534 ,2032 ,468383320 ,583567470 
2024,A020,전남,251 ,301 ,1776 ,330997840 ,401062630 
2024,A020,경북,190 ,336 ,1072 ,245076460 ,299834260 
2024,A020,경남,475 ,644 ,2403 ,446047320 ,546934200 
2024,A020,제주,74 ,121 ,425 ,92317870 ,109525130 
2024,A020,세종,78 ,140 ,297 ,47705810 ,55352820 
2024,A021,서울,32 ,64 ,250 ,94992620 ,117774150 
2024,A021,부산,7 ,10 ,39 ,13984820 ,17657740 
2024,A021,인천,11 ,25 ,153 ,82978240 ,103631120 
2024,A021,대구,4 ,7 ,22 ,7442770 ,9893050 
2024,A021,광주,7 ,8 ,66 ,43228010 ,50057650 
2024,A021,대전,5 ,7 ,23 ,14096630 ,15860840 
2024,A021,경기,30 ,60 ,235 ,140206570 ,172508450 
2024,A021,강원,4 ,5 ,22 ,9013190 ,10577740 
2024,A021,충북,7 ,15 ,132 ,41146940 ,52478950 
