진료년도,주상병코드,시도구분,환자수,명세서청구건수,입내원일수,보험자부담금(선별포함),요양급여비용총액(선별포함)
2024,A00,서울,14 ,20 ,25 ,3528630 ,4586800 
2024,A00,부산,2 ,2 ,2 ,116640 ,223540 
2024,A00,인천,5 ,5 ,12 ,2443350 ,3427350 
2024,A00,대구,7 ,9 ,16 ,3801950 ,4919910 
2024,A00,광주,8 ,8 ,8 ,134880 ,191680 
2024,A00,울산,5 ,5 ,4 ,155850 ,207370 
2024,A00,경기,15 ,19 ,19 ,392970 ,564310 
2024,A00,충북,2 ,9 ,9 ,507100 ,642400 
2024,A00,충남,1 ,1 ,1 ,26220 ,37420 
2024,A00,전북,2 ,2 ,10 ,1927830 ,2318630 
2024,A00,전남,1 ,1 ,1 ,10260 ,16960 
2024,A00,경남,1 ,1 ,1 ,9520 ,19020 
2024,A00,제주,2 ,2 ,2 ,25910 ,36810 
2024,A01,서울,13 ,14 ,34 ,8423500 ,10750200 
2024,A01,부산,13 ,18 ,80 ,19458860 ,24299360 
2024,A01,인천,4 ,8 ,26 ,9205250 ,10927380 
2024,A01,대구,4 ,5 ,5 ,71560 ,118760 
2024,A01,광주,2 ,2 ,2 ,57100 ,95100 
2024,A01,대전,3 ,8 ,11 ,1883530 ,2469690 
2024,A01,울산,7 ,13 ,52 ,16489600 ,17858980 
2024,A01,경기,16 ,23 ,94 ,29338940 ,36793130 
2024,A01,강원,3 ,5 ,10 ,2853670 ,3124480 
2024,A01,충북,2 ,5 ,21 ,6109460 ,7522460 
2024,A01,충남,7 ,7 ,31 ,7528260 ,8830800 
2024,A01,전북,15 ,19 ,69 ,13960220 ,17037640 
2024,A01,전남,6 ,6 ,53 ,11897080 ,14322350 
2024,A01,경북,3 ,3 ,16 ,2863500 ,3255650 
2024,A01,경남,8 ,11 ,50 ,16704010 ,19595600 
2024,A01,제주,2 ,2 ,7 ,1313130 ,1485810 
2024,A02,서울,1015 ,1686 ,4277 ,1139610900 ,1381459250 
2024,A02,부산,443 ,705 ,2597 ,601989320 ,738630320 
2024,A02,인천,368 ,608 ,1831 ,527692090 ,639692730 
2024,A02,대구,230 ,348 ,1183 ,269559340 ,326655700 
2024,A02,광주,267 ,438 ,1274 ,248987440 ,297458580 
2024,A02,대전,336 ,549 ,1806 ,450225410 ,551418180 
2024,A02,울산,122 ,220 ,574 ,97662790 ,119887880 
2024,A02,경기,1983 ,3304 ,8483 ,2010070370 ,2431040230 
2024,A02,강원,112 ,163 ,547 ,172090170 ,205853620 
2024,A02,충북,181 ,303 ,1014 ,192249160 ,236626550 
2024,A02,충남,183 ,318 ,887 ,165612780 ,203515980 
2024,A02,전북,398 ,624 ,2270 ,521396920 ,652630100 
2024,A02,전남,388 ,475 ,1993 ,344316490 ,418571960 
2024,A02,경북,786 ,1033 ,1821 ,280806900 ,347076330 
2024,A02,경남,511 ,706 ,2572 ,486233350 ,592073450 
2024,A02,제주,78 ,126 ,451 ,101490200 ,121012240 
2024,A02,세종,83 ,149 ,314 ,50493360 ,58664630 
2024,A03,서울,20 ,45 ,87 ,27203440 ,34249700 
2024,A03,부산,4 ,4 ,24 ,5624270 ,7212920 
2024,A03,인천,5 ,12 ,26 ,8756090 ,10855950 
2024,A03,대구,3 ,6 ,12 ,2315230 ,3209500 
2024,A03,광주,2 ,2 ,6 ,1293920 ,1396470 
2024,A03,대전,3 ,4 ,25 ,8870060 ,10698480 
2024,A03,울산,3 ,5 ,5 ,215650 ,289050 
2024,A03,경기,34 ,51 ,135 ,31278060 ,37982040 
2024,A03,강원,2 ,4 ,8 ,2659260 ,3230200 
2024,A03,충북,3 ,5 ,22 ,5438620 ,6533950 
2024,A03,충남,1 ,1 ,12 ,2944070 ,3504820 
2024,A03,전북,9 ,10 ,27 ,5288950 ,6676860 
2024,A03,전남,5 ,5 ,41 ,9120050 ,11694110 
2024,A03,경북,3 ,4 ,4 ,39540 ,52440 
2024,A03,경남,10 ,12 ,71 ,13268160 ,15696370 
2024,A03,제주,1 ,1 ,1 ,8890 ,12590 
2024,A04,서울,134592 ,190605 ,209848 ,9812426950 ,12884071990 
2024,A04,부산,33469 ,47934 ,63074 ,5233989480 ,6635621200 
2024,A04,인천,20621 ,29259 ,38239 ,3466294990 ,4375225400 
2024,A04,대구,21549 ,31936 ,44847 ,4159988090 ,5442856340 
2024,A04,광주,19325 ,26793 ,40069 ,4087042820 ,5056290900 
2024,A04,대전,20945 ,29087 ,34236 ,2225957720 ,2813575850 
2024,A04,울산,11184 ,17078 ,21544 ,1655560520 ,2095054220 
2024,A04,경기,150907 ,210950 ,246345 ,16019283460 ,20526512030 
2024,A04,강원,8026 ,11234 ,14591 ,1402744100 ,1808136050 
2024,A04,충북,15495 ,20271 ,24702 ,1494900420 ,1924688480 
2024,A04,충남,21753 ,29339 ,34383 ,1906752200 ,2468251220 
2024,A04,전북,23944 ,35379 ,46428 ,3274268130 ,4242606770 
2024,A04,전남,25955 ,37903 ,52087 ,3673282390 ,4689572840 
2024,A04,경북,24476 ,33067 ,42281 ,3230118470 ,4204192090 
2024,A04,경남,35512 ,51735 ,68658 ,5539163190 ,7051630830 
2024,A04,제주,7761 ,10395 ,13150 ,907671510 ,1123633610 
2024,A04,세종,3389 ,4745 ,5081 ,198240880 ,245201260 
2024,A05,서울,3821 ,4943 ,5527 ,244045870 ,332749880 
2024,A05,부산,305 ,365 ,479 ,39090100 ,48153300 
