진료년도,주상병코드,의료기관종별,환자수,명세서청구건수,입내원일수,보험자부담금(선별포함),요양급여비용총액(선별포함)
2025,A00,상급종합병원,2 ,7 ,21 ,48977820 ,61961270 
2025,A00,종합병원,6 ,10 ,33 ,11331880 ,12684470 
2025,A00,치과병원,2 ,2 ,2 ,46410 ,77210 
2025,A00,의원,47 ,75 ,75 ,2526350 ,3422270 
2025,A00,보건지소,1 ,1 ,1 ,4850 ,5350 
2025,A00,병원,11 ,12 ,12 ,325020 ,427620 
2025,A00,보건소,2 ,2 ,2 ,11180 ,12180 
2025,A00,치과의원,16 ,16 ,16 ,405110 ,573610 
2025,A01,상급종합병원,11 ,20 ,49 ,19261500 ,23259120 
2025,A01,종합병원,54 ,106 ,466 ,132577120 ,158877700 
2025,A01,의원,17 ,25 ,30 ,1932640 ,2261960 
2025,A01,병원,21 ,26 ,142 ,27562290 ,33326720 
2025,A01,치과의원,2 ,2 ,2 ,49200 ,70100 
2025,A01,보건의료원,1 ,2 ,2 ,31170 ,32670 
2025,A01,정신병원,1 ,1 ,1 ,16390 ,20480 
2025,A02,상급종합병원,699 ,1208 ,4084 ,1896455370 ,2267998510 
2025,A02,종합병원,4210 ,6905 ,25131 ,6824468740 ,8461302690 
2025,A02,의원,2680 ,4142 ,5676 ,390338280 ,454931750 
2025,A02,보건지소,1 ,1 ,1 ,4850 ,5350 
2025,A02,병원,3288 ,4736 ,15653 ,2752030390 ,3266359520 
2025,A02,요양병원,6 ,22 ,212 ,20478110 ,27137390 
2025,A02,보건소,2 ,2 ,2 ,11180 ,12180 
2025,A03,상급종합병원,5 ,10 ,34 ,17837950 ,22082240 
2025,A03,종합병원,76 ,120 ,459 ,156250200 ,193312570 
2025,A03,의원,32 ,41 ,48 ,2801580 ,3629200 
2025,A03,병원,52 ,73 ,367 ,80680690 ,95532680 
2025,A03,요양병원,2 ,2 ,2 ,55470 ,85070 
2025,A04,상급종합병원,4560 ,8659 ,18025 ,6440644220 ,7985615150 
2025,A04,종합병원,32146 ,52608 ,149336 ,36354531560 ,46395362640 
2025,A04,한방병원,115 ,135 ,132 ,5447690 ,7545930 
2025,A04,치과병원,4 ,6 ,6 ,165500 ,275700 
2025,A04,의원,520134 ,718686 ,727115 ,15621906860 ,21097192030 
2025,A04,보건지소,30 ,43 ,43 ,407250 ,466850 
2025,A04,보건진료소,1 ,1 ,1 ,7960 ,8860 
2025,A04,병원,34893 ,49026 ,113953 ,17597894620 ,21237604810 
2025,A04,요양병원,688 ,1341 ,13086 ,1198359460 ,1564308980 
2025,A04,보건소,24 ,26 ,26 ,145340 ,158340 
2025,A04,보건의료원,68 ,104 ,104 ,3002250 ,4046050 
2025,A04,정신병원,50 ,71 ,544 ,96091770 ,114791560 
2025,A05,상급종합병원,48 ,69 ,86 ,16831460 ,20719040 
2025,A05,종합병원,1239 ,1812 ,4269 ,1029445800 ,1359354880 
2025,A05,한방병원,89 ,93 ,90 ,3057110 ,4096590 
2025,A05,의원,17312 ,22764 ,22843 ,377346800 ,508407140 
2025,A05,보건지소,20 ,21 ,21 ,199900 ,225200 
2025,A05,보건진료소,52 ,56 ,56 ,456600 ,527700 
2025,A05,병원,525 ,626 ,1894 ,207545390 ,276848590 
2025,A05,요양병원,31 ,42 ,124 ,9846580 ,12916750 
2025,A05,보건소,4 ,5 ,5 ,27350 ,30450 
2025,A05,보건의료원,20 ,20 ,20 ,585150 ,829450 
2025,A06,상급종합병원,84 ,295 ,393 ,105246480 ,142104920 
2025,A06,종합병원,113 ,258 ,506 ,98849930 ,136307120 
2025,A06,의원,2700 ,4457 ,4454 ,67586240 ,89059430 
2025,A06,보건지소,1 ,1 ,1 ,4850 ,5350 
2025,A06,병원,31 ,47 ,91 ,14318570 ,19253210 
2025,A06,요양병원,1 ,2 ,34 ,2389720 ,3265770 
2025,A07,상급종합병원,11 ,19 ,19 ,192140 ,671550 
2025,A07,종합병원,23 ,38 ,83 ,18486640 ,22685900 
2025,A07,한방병원,1 ,1 ,0 ,139840 ,174790 
2025,A07,의원,621 ,858 ,858 ,13495410 ,17876390 
2025,A07,병원,19 ,22 ,22 ,989730 ,1657580 
2025,A07,요양병원,1 ,1 ,1 ,2700 ,4400 
2025,A07,보건소,1 ,1 ,1 ,5590 ,6090 
2025,A08,상급종합병원,1378 ,1588 ,4037 ,1812041980 ,2075073630 
2025,A08,종합병원,17981 ,24680 ,59117 ,13580136940 ,15923629590 
2025,A08,한방병원,235 ,297 ,332 ,10324420 ,14784840 
2025,A08,치과병원,1 ,3 ,3 ,0 ,0 
2025,A08,의원,284135 ,398079 ,412557 ,9869472120 ,12314665080 
2025,A08,보건지소,69 ,79 ,79 ,769750 ,912550 
2025,A08,보건진료소,237 ,364 ,364 ,3292820 ,3703120 
2025,A08,병원,56328 ,79496 ,173955 ,28944134730 ,32430654680 
2025,A08,요양병원,692 ,1070 ,1128 ,22203830 ,29851420 
2025,A08,보건소,18 ,20 ,20 ,110600 ,121800 
2025,A08,치과의원,1 ,1 ,1 ,7750 ,10950 
2025,A08,보건의료원,43 ,46 ,46 ,1062760 ,1443600 
2025,A08,정신병원,34 ,42 ,130 ,5764920 ,8080110 
2025,A09,상급종합병원,21571 ,25133 ,39057 ,13716054830 ,17795427150 
2025,A09,종합병원,567679 ,777842 ,1187735 ,198778203740 ,274099324490 
2025,A09,한방병원,2034 ,2553 ,2785 ,152579120 ,215736570 
2025,A09,치과병원,169 ,232 ,232 ,3628700 ,6017700 
2025,A09,의원,3788879 ,5896807 ,5922341 ,119328926450 ,160751920160 
2025,A09,보건지소,3227 ,4143 ,4143 ,47069880 ,57774180 
2025,A09,보건진료소,12227 ,19271 ,19271 ,170398420 ,197560020 
2025,A09,병원,659414 ,1000622 ,1255740 ,86621567280 ,116557692660 
2025,A09,요양병원,4326 ,6655 ,22328 ,1313255060 ,1781221650 
2025,A09,보건소,2024 ,2454 ,2454 ,14131880 ,15596680 
2025,A09,치과의원,6 ,7 ,7 ,119490 ,167890 
2025,A09,보건의료원,7950 ,9641 ,9819 ,305813970 ,413248320 
2025,A09,정신병원,618 ,934 ,1374 ,120138320 ,161738860 
2025,A15,상급종합병원,4348 ,27431 ,39341 ,20441538820 ,21032142510 
2025,A15,종합병원,7965 ,46930 ,95718 ,32912135880 ,34104397290 
2025,A15,한방병원,3 ,10 ,109 ,13849870 ,18914410 
2025,A15,의원,652 ,2489 ,2536 ,207272090 ,220014970 
2025,A15,보건지소,2 ,2 ,2 ,8900 ,10700 
2025,A15,병원,1371 ,7505 ,39987 ,9035593410 ,9411853390 
2025,A15,요양병원,277 ,957 ,13830 ,1244015550 ,1452264290 
2025,A15,보건소,109 ,171 ,171 ,1129940 ,1291140 
2025,A15,보건의료원,48 ,120 ,120 ,5115300 ,5368400 
2025,A15,정신병원,4 ,52 ,69 ,13742650 ,13936310 
2025,A16,상급종합병원,4114 ,24688 ,33253 ,14446234310 ,14900908350 
2025,A16,종합병원,6535 ,37475 ,68089 ,21494636310 ,22412162730 
2025,A16,한방병원,4 ,10 ,13 ,9856440 ,11559640 
2025,A16,의원,1212 ,2069 ,2061 ,143106970 ,180759450 
2025,A16,병원,671 ,2485 ,8982 ,1912680250 ,2104016740 
2025,A16,요양병원,274 ,852 ,12738 ,1141908500 ,1342929600 
2025,A16,보건소,44 ,51 ,51 ,305590 ,369090 
2025,A16,보건의료원,6 ,6 ,6 ,242140 ,327640 
2025,A16,정신병원,1 ,1 ,5 ,716650 ,749100 
2025,A17,상급종합병원,146 ,648 ,3086 ,1803897930 ,1972774600 
2025,A17,종합병원,135 ,721 ,2447 ,1048044850 ,1187815370 
2025,A17,의원,4 ,4 ,4 ,1085620 ,1354190 
2025,A17,병원,17 ,198 ,1433 ,316564800 ,372911700 
2025,A17,요양병원,23 ,155 ,2187 ,214486030 ,265350430 
2025,A17,보건소,1 ,220 ,220 ,454530 ,616230 
2025,A18,상급종합병원,2043 ,12140 ,18235 ,5134289090 ,5584854300 
2025,A18,종합병원,1443 ,8471 ,14266 ,3613615640 ,3925840600 
2025,A18,한방병원,1 ,1 ,1 ,18540 ,30740 
2025,A18,의원,258 ,728 ,732 ,42406880 ,50135290 
2025,A18,보건지소,1 ,1 ,1 ,10000 ,10900 
2025,A18,병원,110 ,469 ,1549 ,225273640 ,255154130 
2025,A18,요양병원,60 ,263 ,4026 ,379100840 ,442854480 
2025,A18,보건소,2 ,2 ,2 ,9980 ,12180 
2025,A19,상급종합병원,120 ,682 ,2386 ,1681104580 ,1738384220 
2025,A19,종합병원,156 ,740 ,2898 ,1319421360 ,1369704340 
2025,A19,치과병원,1 ,2 ,2 ,61080 ,61080 
2025,A19,의원,10 ,12 ,11 ,403100 ,508300 
2025,A19,병원,19 ,61 ,347 ,62587190 ,66393090 
2025,A19,요양병원,20 ,117 ,2071 ,191580130 ,237069050 
2025,A19,보건의료원,1 ,1 ,1 ,16260 ,18060 
2025,A20,상급종합병원,1 ,2 ,2 ,124800 ,344400 
2025,A20,의원,8 ,8 ,8 ,137670 ,194570 
2025,A21,의원,4 ,4 ,4 ,63230 ,82630 
2025,A21,정신병원,1 ,1 ,0 ,14140 ,16440 
2025,A22,종합병원,3 ,3 ,3 ,271290 ,545840 
2025,A22,의원,3 ,4 ,4 ,78590 ,111990 
2025,A22,병원,4 ,6 ,6 ,98310 ,165730 
2025,A23,상급종합병원,2 ,4 ,59 ,20402240 ,26130820 
2025,A23,종합병원,4 ,23 ,38 ,6961360 ,8861780 
2025,A24,상급종합병원,5 ,16 ,30 ,2246360 ,3485510 
2025,A24,종합병원,1 ,2 ,2 ,6420 ,12620 
2025,A24,한방병원,1 ,1 ,1 ,50510 ,77610 
2025,A24,의원,9 ,13 ,13 ,220450 ,313850 
2025,A24,병원,1 ,4 ,4 ,40120 ,64620 
2025,A25,상급종합병원,3 ,3 ,3 ,30030 ,264630 
2025,A25,종합병원,3 ,5 ,5 ,237090 ,479170 
2025,A25,의원,18 ,22 ,25 ,1090100 ,1471830 
2025,A25,보건진료소,1 ,2 ,2 ,5960 ,7760 
2025,A25,병원,9 ,11 ,11 ,362860 ,587030 
2025,A26,상급종합병원,11 ,25 ,25 ,679930 ,1736060 
2025,A26,종합병원,43 ,68 ,129 ,18007380 ,24987180 
2025,A26,의원,231 ,494 ,503 ,9623140 ,12889360 
2025,A26,병원,20 ,26 ,48 ,4501520 ,5584200 
2025,A26,요양병원,1 ,1 ,1 ,25920 ,43120 
2025,A27,상급종합병원,4 ,7 ,53 ,66623250 ,81606260 
2025,A27,종합병원,31 ,50 ,221 ,51238760 ,69598240 
2025,A27,의원,8 ,8 ,8 ,619610 ,735310 
2025,A27,병원,6 ,10 ,27 ,3815270 ,5212790 
2025,A28,상급종합병원,4 ,6 ,10 ,2635970 ,3882020 
2025,A28,종합병원,40 ,65 ,109 ,17174890 ,23865870 
2025,A28,한방병원,1 ,1 ,1 ,9300 ,15500 
2025,A28,의원,160 ,211 ,210 ,4691590 ,6597040 
2025,A28,보건지소,4 ,5 ,5 ,33350 ,37850 
2025,A28,보건진료소,3 ,3 ,3 ,25320 ,33220 
2025,A28,병원,42 ,66 ,66 ,1520040 ,2469940 
2025,A28,요양병원,7 ,7 ,7 ,243690 ,367890 
2025,A28,보건소,1 ,1 ,1 ,4990 ,6090 
2025,A28,보건의료원,1 ,1 ,1 ,63370 ,90470 
2025,A28,정신병원,1 ,1 ,1 ,14270 ,23770 
2025,A30,상급종합병원,2 ,3 ,3 ,75200 ,240900 
2025,A30,의원,85 ,142 ,1081 ,44343150 ,61679380 
2025,A30,병원,1 ,3 ,3 ,94170 ,144770 
2025,A31,상급종합병원,19803 ,95471 ,108286 ,9832653870 ,16630027940 
2025,A31,종합병원,10221 ,49666 ,58203 ,4834366510 ,7244947620 
2025,A31,한방병원,4 ,4 ,0 ,149270 ,186570 
2025,A31,의원,4016 ,10135 ,10084 ,338242830 ,472468600 
2025,A31,병원,510 ,4741 ,6363 ,353636050 ,503884730 
2025,A31,요양병원,59 ,214 ,3071 ,228537320 ,298295160 
2025,A31,보건소,16 ,16 ,16 ,81640 ,97440 
2025,A31,보건의료원,10 ,102 ,102 ,2056090 ,2600890 
2025,A32,상급종합병원,16 ,50 ,518 ,664048860 ,761517650 
2025,A32,종합병원,14 ,36 ,314 ,159422970 ,204491500 
2025,A32,의원,1 ,1 ,1 ,11230 ,15930 
2025,A32,병원,3 ,27 ,429 ,83167560 ,106460270 
2025,A32,요양병원,2 ,3 ,17 ,851070 ,1072810 
2025,A34,의원,1 ,1 ,1 ,17790 ,25290 
2025,A35,상급종합병원,26 ,50 ,373 ,378864890 ,464438050 
2025,A35,종합병원,29 ,54 ,206 ,97683980 ,117166330 
2025,A35,한방병원,4 ,4 ,4 ,109950 ,179350 
2025,A35,의원,394 ,509 ,509 ,16417590 ,23305570 
2025,A35,보건지소,3 ,3 ,3 ,17450 ,19750 
2025,A35,보건진료소,1 ,1 ,1 ,7960 ,8860 
2025,A35,병원,49 ,59 ,92 ,9866740 ,13388690 
2025,A35,요양병원,6 ,14 ,187 ,11715230 ,17130230 
2025,A35,보건소,8 ,8 ,8 ,54720 ,63520 
2025,A35,보건의료원,10 ,10 ,10 ,262770 ,374370 
2025,A35,정신병원,6 ,6 ,6 ,151870 ,233270 
2025,A36,종합병원,1 ,1 ,1 ,11140 ,22140 
2025,A36,의원,5 ,6 ,6 ,185230 ,264130 
2025,A37,상급종합병원,58 ,106 ,179 ,54954730 ,64742710 
2025,A37,종합병원,685 ,1141 ,2828 ,588720900 ,696482270 
2025,A37,의원,2529 ,4264 ,4817 ,204046740 ,251750420 
2025,A37,병원,1294 ,2008 ,5046 ,848239460 ,963998590 
2025,A37,요양병원,3 ,4 ,4 ,49080 ,64180 
2025,A37,보건소,41 ,41 ,41 ,225990 ,249690 
2025,A37,보건의료원,4 ,6 ,6 ,268510 ,383010 
2025,A38,상급종합병원,192 ,286 ,398 ,112467490 ,132456310 
