행정기관코드,기준연월,시도명,시군구명,읍면동명,전체 전월인구수,전월 남자인구수,전월 여자인구수,전체 당월인구수,당월 남자인구수,당월 여자인구수,전체 인구증감,남자 인구증감,여자 인구증감
1111051500,2026-06-30,서울특별시,종로구,청운효자동,10719,4869,5850,10682,4837,5845,-37,-32,-5
1111053000,2026-06-30,서울특별시,종로구,사직동,8874,3909,4965,8874,3917,4957,0,8,-8
1111054000,2026-06-30,서울특별시,종로구,삼청동,2064,976,1088,2048,966,1082,-16,-10,-6
1111055000,2026-06-30,서울특별시,종로구,부암동,8872,4137,4735,8868,4141,4727,-4,4,-8
1111056000,2026-06-30,서울특별시,종로구,평창동,16959,7810,9149,16938,7800,9138,-21,-10,-11
1111057000,2026-06-30,서울특별시,종로구,무악동,7699,3540,4159,7694,3535,4159,-5,-5,0
1111058000,2026-06-30,서울특별시,종로구,교남동,9470,4278,5192,9473,4287,5186,3,9,-6
1111060000,2026-06-30,서울특별시,종로구,가회동,3525,1636,1889,3532,1638,1894,7,2,5
1111061500,2026-06-30,서울특별시,종로구,종로1.2.3.4가동,6651,4005,2646,6625,3994,2631,-26,-11,-15
1111063000,2026-06-30,서울특별시,종로구,종로5.6가동,5420,2780,2640,5388,2768,2620,-32,-12,-20
1111064000,2026-06-30,서울특별시,종로구,이화동,7063,3269,3794,7061,3260,3801,-2,-9,7
1111065000,2026-06-30,서울특별시,종로구,혜화동,15736,7499,8237,15719,7491,8228,-17,-8,-9
1111067000,2026-06-30,서울특별시,종로구,창신제1동,4380,2302,2078,4372,2290,2082,-8,-12,4
1111068000,2026-06-30,서울특별시,종로구,창신제2동,7103,3642,3461,7078,3622,3456,-25,-20,-5
1111069000,2026-06-30,서울특별시,종로구,창신제3동,6070,2948,3122,6048,2936,3112,-22,-12,-10
1111070000,2026-06-30,서울특별시,종로구,숭인제1동,5676,2768,2908,5678,2779,2899,2,11,-9
1111071000,2026-06-30,서울특별시,종로구,숭인제2동,10237,4994,5243,10240,4994,5246,3,0,3
1114052000,2026-06-30,서울특별시,중구,소공동,2218,1032,1186,2207,1026,1181,-11,-6,-5
1114054000,2026-06-30,서울특별시,중구,회현동,4044,2055,1989,4042,2045,1997,-2,-10,8
1114055000,2026-06-30,서울특별시,중구,명동,2490,1031,1459,2494,1039,1455,4,8,-4
1114057000,2026-06-30,서울특별시,중구,필동,4329,2209,2120,4311,2203,2108,-18,-6,-12
1114058000,2026-06-30,서울특별시,중구,장충동,4578,2414,2164,4589,2405,2184,11,-9,20
1114059000,2026-06-30,서울특별시,중구,광희동,5739,2789,2950,5722,2786,2936,-17,-3,-14
1114060500,2026-06-30,서울특별시,중구,을지로동,3048,1635,1413,3050,1635,1415,2,0,2
1114061500,2026-06-30,서울특별시,중구,신당동,7341,3554,3787,7276,3518,3758,-65,-36,-29
1114062500,2026-06-30,서울특별시,중구,다산동,12902,6223,6679,12837,6187,6650,-65,-36,-29
1114063500,2026-06-30,서울특별시,중구,약수동,15648,7205,8443,15633,7208,8425,-15,3,-18
1114064500,2026-06-30,서울특별시,중구,청구동,10645,4949,5696,10631,4947,5684,-14,-2,-12
1114065000,2026-06-30,서울특별시,중구,신당제5동,9959,4816,5143,9945,4804,5141,-14,-12,-2
1114066500,2026-06-30,서울특별시,중구,동화동,9764,4659,5105,9737,4653,5084,-27,-6,-21
1114067000,2026-06-30,서울특별시,중구,황학동,13189,6168,7021,13198,6154,7044,9,-14,23
