진료년도,표시과목,주상병코드,환자수,명세서청구건수,입내원일수,보험자부담금(선별포함),요양급여비용총액(선별포함)
2025,일반의,A00,18 ,36 ,36 ,1484150 ,2045850 
2025,일반의,A01,6 ,8 ,8 ,210440 ,297240 
2025,일반의,A02,151 ,233 ,454 ,45749190 ,53956640 
2025,일반의,A03,7 ,7 ,10 ,579630 ,772550 
2025,일반의,A04,111610 ,152228 ,155372 ,3078160280 ,4127489950 
2025,일반의,A05,5324 ,7195 ,7215 ,112753740 ,150043870 
2025,일반의,A06,704 ,973 ,972 ,14004900 ,18402410 
2025,일반의,A07,461 ,661 ,661 ,8595030 ,11147830 
2025,일반의,A08,62053 ,82921 ,85148 ,1785691680 ,2317642790 
2025,일반의,A09,937167 ,1285285 ,1292225 ,23950812980 ,32683186740 
2025,일반의,A15,210 ,945 ,944 ,82779250 ,86544110 
2025,일반의,A16,220 ,507 ,484 ,29432050 ,33126470 
2025,일반의,A17,1 ,1 ,1 ,484690 ,495860 
2025,일반의,A18,66 ,135 ,130 ,5509860 ,6854760 
2025,일반의,A19,3 ,5 ,4 ,180880 ,192680 
2025,일반의,A20,2 ,2 ,2 ,22170 ,31570 
2025,일반의,A21,1 ,1 ,1 ,14130 ,15630 
2025,일반의,A22,1 ,1 ,1 ,15610 ,22210 
2025,일반의,A24,2 ,3 ,3 ,72990 ,103990 
2025,일반의,A25,3 ,3 ,3 ,62430 ,88930 
2025,일반의,A26,40 ,59 ,59 ,1151220 ,1575120 
2025,일반의,A27,1 ,1 ,1 ,12910 ,18410 
2025,일반의,A28,66 ,85 ,84 ,1818890 ,2550160 
2025,일반의,A30,73 ,128 ,1067 ,44066070 ,61312400 
2025,일반의,A31,444 ,1960 ,1942 ,54370660 ,74908090 
2025,일반의,A32,1 ,1 ,1 ,11230 ,15930 
2025,일반의,A35,66 ,82 ,82 ,2264680 ,3203910 
2025,일반의,A37,577 ,974 ,1110 ,46539560 ,58136630 
2025,일반의,A38,349 ,579 ,608 ,16876730 ,22071240 
2025,일반의,A40,16 ,20 ,20 ,743510 ,1056310 
2025,일반의,A41,156 ,379 ,399 ,27521620 ,35623630 
2025,일반의,A42,8 ,10 ,10 ,999990 ,1468750 
2025,일반의,A44,4 ,4 ,4 ,253960 ,362560 
2025,일반의,A46,257 ,470 ,478 ,8154200 ,10683840 
2025,일반의,A48,524 ,715 ,715 ,24539880 ,34897900 
2025,일반의,A49,16839 ,25648 ,25670 ,860376210 ,1237676580 
2025,일반의,A50,9 ,17 ,17 ,478140 ,674840 
2025,일반의,A51,202 ,320 ,320 ,15053740 ,21317650 
2025,일반의,A52,24 ,57 ,56 ,1570230 ,2119230 
2025,일반의,A53,394 ,570 ,566 ,22130230 ,30384660 
2025,일반의,A54,1080 ,1568 ,1566 ,53451270 ,76455670 
2025,일반의,A55,21 ,26 ,26 ,925060 ,1325820 
2025,일반의,A56,3583 ,6007 ,6008 ,208690680 ,302600850 
2025,일반의,A57,16 ,27 ,27 ,495090 ,678590 
