진료개시년도,진료형태소분류코드,시도코드,시도시군구코드,주상병분류,진료인원(명),진료비(천원)
2021,한방기관입원,서울특별시,종로구,신생물[C00-D48],76,151494
2021,한방기관입원,서울특별시,종로구,내분비  영양 및 대사질환[E00-E90],10,3312
2021,한방기관입원,서울특별시,종로구,정신 및 행동장애[F00-F99],36,71687
2021,한방기관입원,서울특별시,종로구,신경계의 질환[G00-G99],98,132903
2021,한방기관입원,서울특별시,종로구,순환기계의 질환[I00-I99],78,126003
2021,한방기관입원,서울특별시,종로구,호흡기계의 질환[J00-J99],5,5775
2021,한방기관입원,서울특별시,종로구,소화기계의 질환[K00-K93],13,19729
2021,한방기관입원,서울특별시,종로구,피부 및 피하조직의 질환[L00-L99],*,*
2021,한방기관입원,서울특별시,종로구,근골격계 및 결합조직의 질환[M00-M99],165,249810
2021,한방기관입원,서울특별시,종로구,비뇨생식기계의 질환[N00-N99],14,11491
2021,한방기관입원,서울특별시,종로구,달리 분류되지 않은 증상  징후와 임상 및 검사의 이상 소견[R00-R99],9,9998
2021,한방기관입원,서울특별시,종로구,손상  중독및 외인에 의한 특정 기타 결과[S00-T98],95,162838
2021,한방기관입원,서울특별시,종로구,건강상태 및 보건서비스 접촉에 영향을 주는 요인[Z00-Z99],*,*
2021,한방기관입원,서울특별시,종로구,특수목적코드[U00-U99],26,29713
2021,한방기관입원,서울특별시,중구,특정감염성 및 기생충성 질환[A00-B99],*,*
2021,한방기관입원,서울특별시,중구,신생물[C00-D48],62,122071
2021,한방기관입원,서울특별시,중구,혈액 및 조혈기관의 질환과 면역기전을 침범한 특정 장애[D50-D89],*,*
2021,한방기관입원,서울특별시,중구,내분비  영양 및 대사질환[E00-E90],6,4435
2021,한방기관입원,서울특별시,중구,정신 및 행동장애[F00-F99],31,35240
2021,한방기관입원,서울특별시,중구,신경계의 질환[G00-G99],71,89758
2021,한방기관입원,서울특별시,중구,귀 및 유양돌기의 질환[H60-H95],*,*
2021,한방기관입원,서울특별시,중구,순환기계의 질환[I00-I99],42,78002
2021,한방기관입원,서울특별시,중구,호흡기계의 질환[J00-J99],*,*
2021,한방기관입원,서울특별시,중구,소화기계의 질환[K00-K93],12,2853
2021,한방기관입원,서울특별시,중구,피부 및 피하조직의 질환[L00-L99],*,*
2021,한방기관입원,서울특별시,중구,근골격계 및 결합조직의 질환[M00-M99],145,210751
2021,한방기관입원,서울특별시,중구,비뇨생식기계의 질환[N00-N99],10,9358
2021,한방기관입원,서울특별시,중구,달리 분류되지 않은 증상  징후와 임상 및 검사의 이상 소견[R00-R99],11,15505
2021,한방기관입원,서울특별시,중구,손상  중독및 외인에 의한 특정 기타 결과[S00-T98],75,112831
2021,한방기관입원,서울특별시,중구,건강상태 및 보건서비스 접촉에 영향을 주는 요인[Z00-Z99],*,*
2021,한방기관입원,서울특별시,중구,특수목적코드[U00-U99],26,30345
2021,한방기관입원,서울특별시,용산구,특정감염성 및 기생충성 질환[A00-B99],*,*
2021,한방기관입원,서울특별시,용산구,신생물[C00-D48],82,216919
2021,한방기관입원,서울특별시,용산구,내분비  영양 및 대사질환[E00-E90],11,5351
2021,한방기관입원,서울특별시,용산구,정신 및 행동장애[F00-F99],40,42899
2021,한방기관입원,서울특별시,용산구,신경계의 질환[G00-G99],84,119502
2021,한방기관입원,서울특별시,용산구,귀 및 유양돌기의 질환[H60-H95],6,6930
2021,한방기관입원,서울특별시,용산구,순환기계의 질환[I00-I99],70,142273
2021,한방기관입원,서울특별시,용산구,호흡기계의 질환[J00-J99],9,10332
2021,한방기관입원,서울특별시,용산구,소화기계의 질환[K00-K93],14,11295
